Pedido;Memo;Factura;Colocado;Fabricado;Despachado
101072;M000000774;90002232;25;25.313;25.313
100618;M000000409;90003730;1.360776;2.708;1.354
104412;M000003885;90012230;18.14368;18.544;18.544
104414;M000004384;90013306;18.14368;18.412;18.412
101458;M000001009;90003882;2;2.081;2.081
101577;M000001080;90003938;25;24.393;24.393
101579;M000001081;90003975;25;24.188;24.188
100974;M000000729;90002279;18.597272;20.446;19.516
100976;M000000729;90002279;1.814368;1.924;1.924
101198;M000000984;90003797;0.453592;0.475;0.475
101199;M000000984;90003797;9.07184;10.083;9.079
101201;M000000984;90003797;7.711064;8.288;8.288
101203;M000000984;90003797;0.453592;0.488;0.488
101204;M000000984;90003797;0.907184;0.956;0.956
101205;M000000984;90003797;1.360776;1.369;1.369
101278;M000000984;90003797;0.907184;0.956;0.956
101281;M000000984;90003797;0.907184;0.949;0.949
101333;M000000983;90003894;21.318824;22.581;22.581
104576;M000003900;90012579;20.41164;20.951;20.951
104937;M000004143;90013068;19.504456;20.562;20.562
104938;M000004103;90012870;6.914103;7.195;7.195
104939;M000004103;90012870;12.246984;13.643;12.636
104971;M000004103;90012870;2.721552;2.857;2.857
105163;M000003900;90012579;1.360776;1.424;1.424
105711;M000004557;90013573;22.6796;22.861;22.861
105784;M000003961;90012495;25;25.176;25.176
101276;M000000836;90003704;6;6.126;6.126
101671;M000001141;90004214;50;54.546;50.458
101857;M000001245;90004355;25;25.572;25.572
101846;M000001243;90004231;25;25.066;25.066
100848;M000000757;90002170;18.14368;18.627;18.158
100849;M000000761;90003731;18.14368;20.136;18.766
100850;M000000765;90004101;18.14368;18.921;18.921
100851;M000000760;90002805;18.14368;18.61;18.61
100853;M000000764;90003824;18.0862;18.711;18.233
100924;M000000667;90002092;18.14368;18.872;18.872
101175;M000000820;90003739;18.14368;19.153;18.682
101451;M000000998;90003959;18.14368;18.673;18.673
101762;M000001226;90004406;18.14368;18.882;18.882
102838;M000001992;90012763;18.14368;18.361;18.361
102840;M000001994;90013561;18.14368;19.062;18.624
